prodcatg,mode,detector,date,n,edge_med,full_med,row_struct,col_struct
CAL.R-ARC,FAST,1.A.Green,2026-04-07,10,878.0,885.5,3.264,5.144
CAL.R-ARC,FAST,1.A.Green,2026-05-02,11,879.0,886.0,2.73,4.173
CAL.R-ARC,FAST,1.A.Green,2026-06-30,9,882.0,890.0,3.992,6.439
CAL.R-ARC,FAST,1.A.Red,2026-04-07,10,1757.5,1767.0,29.588,342.652
CAL.R-ARC,FAST,1.A.Red,2026-05-02,11,1759.0,1767.0,24.918,287.38
CAL.R-ARC,FAST,1.A.Red,2026-06-30,9,1766.0,1777.0,39.451,431.605
CAL.R-ARC,FAST,1.B.Blue,2026-04-07,10,1227.0,1233.0,3.558,7.69
CAL.R-ARC,FAST,1.B.Blue,2026-05-02,11,1227.0,1232.0,3.004,6.641
CAL.R-ARC,FAST,1.B.Blue,2026-06-30,9,1231.0,1237.0,4.371,9.19
CAL.R-ARC,FAST,1.B.Green,2026-04-07,10,1043.5,1054.5,5.259,8.016
CAL.R-ARC,FAST,1.B.Green,2026-05-02,11,1043.0,1053.0,4.512,6.821
CAL.R-ARC,FAST,1.B.Green,2026-06-30,9,1044.0,1056.0,6.37,9.479
CAL.R-ARC,FAST,1.B.Red,2026-04-07,10,1566.0,1581.0,34.063,548.199
CAL.R-ARC,FAST,1.B.Red,2026-05-02,11,1569.0,1582.0,28.953,472.312
CAL.R-ARC,FAST,1.B.Red,2026-06-30,9,1579.0,1596.0,41.301,645.334
CAL.R-ARC,FAST,2.A.Blue,2026-04-07,10,808.0,815.5,4.401,8.503
CAL.R-ARC,FAST,2.A.Blue,2026-05-02,11,812.0,819.0,3.59,6.833
CAL.R-ARC,FAST,2.A.Blue,2026-06-30,9,817.0,825.0,5.263,10.348
CAL.R-ARC,FAST,2.A.Green,2026-04-07,10,864.0,873.5,5.39,6.468
CAL.R-ARC,FAST,2.A.Green,2026-05-02,11,862.0,870.0,4.493,5.199
CAL.R-ARC,FAST,2.A.Green,2026-06-30,9,859.0,869.0,6.235,7.963
CAL.R-ARC,FAST,2.A.Red,2026-04-07,10,835.0,847.5,83.158,527.737
CAL.R-ARC,FAST,2.A.Red,2026-05-02,11,836.0,847.0,72.064,426.733
CAL.R-ARC,FAST,2.A.Red,2026-06-30,9,844.0,859.0,106.18,645.637
CAL.R-ARC,FAST,2.B.Blue,2026-04-07,10,1431.0,1436.0,4.242,7.667
CAL.R-ARC,FAST,2.B.Blue,2026-05-02,11,1430.0,1436.0,3.554,6.502
CAL.R-ARC,FAST,2.B.Blue,2026-06-30,9,1434.0,1440.0,5.033,9.106
CAL.R-ARC,FAST,2.B.Green,2026-04-07,10,760.0,763.5,5.885,7.408
CAL.R-ARC,FAST,2.B.Green,2026-05-02,11,760.0,763.0,4.778,6.076
CAL.R-ARC,FAST,2.B.Green,2026-06-30,9,760.0,763.0,6.815,8.541
CAL.R-ARC,FAST,2.B.Red,2026-04-07,10,1664.5,1678.5,89.202,516.56
CAL.R-ARC,FAST,2.B.Red,2026-05-02,11,1664.0,1676.0,73.198,436.645
CAL.R-ARC,FAST,2.B.Red,2026-06-30,9,1673.0,1688.0,106.896,609.419
CAL.R-ARC,FAST,3.A.Blue,2026-04-07,10,1448.0,1454.0,1415.212,8.128
CAL.R-ARC,FAST,3.A.Blue,2026-05-02,11,1448.0,1453.0,1415.254,6.588
CAL.R-ARC,FAST,3.A.Blue,2026-06-30,9,1447.0,1454.0,1415.182,9.787
CAL.R-ARC,FAST,3.A.Green,2026-04-07,10,791.0,798.0,5.601,6.261
CAL.R-ARC,FAST,3.A.Green,2026-05-02,11,790.0,796.0,4.654,5.093
CAL.R-ARC,FAST,3.A.Green,2026-06-30,9,788.0,797.0,6.757,7.6
CAL.R-ARC,FAST,3.A.Red,2026-04-07,10,1753.5,1765.0,48.654,446.586
CAL.R-ARC,FAST,3.A.Red,2026-05-02,11,1754.0,1764.0,39.748,372.856
CAL.R-ARC,FAST,3.A.Red,2026-06-30,9,1761.0,1774.0,59.327,532.992
CAL.R-ARC,FAST,3.B.Blue,2026-04-07,10,1071.0,1078.5,5.393,10.802
CAL.R-ARC,FAST,3.B.Blue,2026-05-02,11,1072.0,1079.0,4.67,8.951
CAL.R-ARC,FAST,3.B.Blue,2026-06-30,9,1071.0,1080.0,6.413,12.816
CAL.R-ARC,FAST,3.B.Green,2026-04-07,10,871.5,879.5,6.285,8.647
CAL.R-ARC,FAST,3.B.Green,2026-05-02,11,872.0,880.0,5.323,7.153
CAL.R-ARC,FAST,3.B.Green,2026-06-30,9,874.0,883.0,7.435,10.286
CAL.R-ARC,FAST,3.B.Red,2026-04-07,10,1493.5,1509.5,26.824,578.204
CAL.R-ARC,FAST,3.B.Red,2026-05-02,11,1493.0,1508.0,20.967,483.805
CAL.R-ARC,FAST,3.B.Red,2026-06-30,9,1500.0,1518.0,31.246,675.506
CAL.R-ARC,FAST,4.A.Green,2026-04-07,10,869.0,878.5,4.056,7.422
CAL.R-ARC,FAST,4.A.Green,2026-05-02,11,867.0,875.0,3.468,6.167
CAL.R-ARC,FAST,4.A.Green,2026-06-30,9,863.0,874.0,4.813,9.005
CAL.R-ARC,FAST,4.A.Red,2026-04-07,10,1540.0,1539.0,96.381,505.299
CAL.R-ARC,FAST,4.A.Red,2026-05-02,11,1536.0,1532.0,82.049,426.128
CAL.R-ARC,FAST,4.A.Red,2026-06-30,9,1531.0,1526.0,161.064,683.531
CAL.R-ARC,FAST,4.B.Blue,2026-04-07,10,873.5,881.0,5.096,10.602
CAL.R-ARC,FAST,4.B.Blue,2026-05-02,11,871.0,877.0,4.306,8.789
CAL.R-ARC,FAST,4.B.Blue,2026-06-30,9,867.0,876.0,5.998,12.69
CAL.R-ARC,FAST,4.B.Green,2026-04-07,10,799.0,808.0,7.628,8.345
CAL.R-ARC,FAST,4.B.Green,2026-05-02,11,795.0,803.0,6.378,6.892
CAL.R-ARC,FAST,4.B.Green,2026-06-30,9,792.0,803.0,8.958,9.976
CAL.R-ARC,FAST,4.B.Red,2026-04-07,10,1931.0,1943.5,33.845,509.322
CAL.R-ARC,FAST,4.B.Red,2026-05-02,11,1926.0,1937.0,28.556,432.237
CAL.R-ARC,FAST,4.B.Red,2026-06-30,9,1917.0,1931.0,40.895,605.253
CAL.R-ARC,SLOW,1.A.Green,2026-04-07,3,693.0,724.0,25.6,42.027
CAL.R-ARC,SLOW,1.A.Green,2026-05-02,3,692.0,721.0,23.99,39.032
